ibutton,date.time,ibutton.temp,site,fish_depth,dissolved.oxygen,date
31,2021-07-29T03:10:00Z,14.924,blue.ruin,0.713494886616274,2.88150976191439,2021-07-29
7,2021-07-29T03:15:00Z,14.393,blue.ruin,0.761316319677636,2.87138164723121,2021-07-29
10,2021-07-29T03:15:00Z,12.414,blue.ruin,0.995558739255014,2.51009169054441,2021-07-29
13,2021-07-29T03:15:00Z,15.731,norwood,0.728923388457644,3.30097232534593,2021-07-29
16,2021-07-29T03:15:00Z,13.776,norwood,0.996067415730337,2.00439700374532,2021-07-29
17,2021-07-29T03:15:00Z,16.51,blue.ruin,0.548052384150436,3.32505220098907,2021-07-29
21,2021-07-29T03:15:00Z,15.464,blue.ruin,0.653425117528542,3.10089565907565,2021-07-29
30,2021-07-29T03:15:00Z,13.664,blue.ruin,0.834754869039624,2.71515782404298,2021-07-29
2,2021-07-29T03:20:00Z,13.125,norwood,1.26611445783133,1.77223644578313,2021-07-29
5,2021-07-29T03:20:00Z,14.188,blue.ruin,0.782865731462926,2.77780287848424,2021-07-29
